#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  1.16748228e-01   0.00000000e+00   2.24569684e+00  -1.04280743e-04   2.60187702e-01  -1.92914925e+01  -4.54106217e+00   2.69177313e-02
  1.18993587e-01   0.00000000e+00   2.24606962e+00  -1.08107031e-04   2.54815756e-01  -1.89319479e+01  -4.54103267e+00   2.68731364e-02
  1.21282130e-01   0.00000000e+00   2.24645679e+00  -1.12064766e-04   2.49537202e-01  -1.85792727e+01  -4.54100213e+00   2.68268916e-02
  1.23614687e-01   0.00000000e+00   2.24685889e+00  -1.16157762e-04   2.44350177e-01  -1.82333390e+01  -4.54097051e+00   2.67789392e-02
  1.25992105e-01   0.00000000e+00   2.24727650e+00  -1.20389881e-04   2.39252852e-01  -1.78940210e+01  -4.54093779e+00   2.67292198e-02
  1.28415247e-01   0.00000000e+00   2.24771022e+00  -1.24765039e-04   2.34243437e-01  -1.75611956e+01  -4.54090392e+00   2.66776719e-02
  1.30884991e-01   0.00000000e+00   2.24816066e+00  -1.29287191e-04   2.29320173e-01  -1.72347419e+01  -4.54086887e+00   2.66242325e-02
  1.33402235e-01   0.00000000e+00   2.24862846e+00  -1.33960334e-04   2.24481338e-01  -1.69145414e+01  -4.54083261e+00   2.65688365e-02
  1.35967892e-01   0.00000000e+00   2.24911428e+00  -1.38788492e-04   2.19725244e-01  -1.66004778e+01  -4.54079510e+00   2.65114171e-02
  1.38582893e-01   0.00000000e+00   2.24961882e+00  -1.43775717e-04   2.15050236e-01  -1.62924370e+01  -4.54075631e+00   2.64519055e-02
  1.41248187e-01   0.00000000e+00   2.25014278e+00  -1.48926072e-04   2.10454693e-01  -1.59903071e+01  -4.54071620e+00   2.63902309e-02
  1.43964741e-01   0.00000000e+00   2.25068691e+00  -1.54243632e-04   2.05937026e-01  -1.56939784e+01  -4.54067473e+00   2.63263207e-02
  1.46733541e-01   0.00000000e+00   2.25125199e+00  -1.59732466e-04   2.01495678e-01  -1.54033432e+01  -4.54063187e+00   2.62601002e-02
  1.49555592e-01   0.00000000e+00   2.25183880e+00  -1.65396629e-04   1.97129127e-01  -1.51182960e+01  -4.54058757e+00   2.61914927e-02
  1.52431918e-01   0.00000000e+00   2.25244817e+00  -1.71240153e-04   1.92835881e-01  -1.48387331e+01  -4.54054181e+00   2.61204197e-02
  1.55363563e-01   0.00000000e+00   2.25308097e+00  -1.77267028e-04   1.88614477e-01  -1.45645531e+01  -4.54049454e+00   2.60468003e-02
  1.58351590e-01   0.00000000e+00   2.25373808e+00  -1.83481195e-04   1.84463488e-01  -1.42956562e+01  -4.54044574e+00   2.59705520e-02
  1.61397085e-01   0.00000000e+00   2.25442044e+00  -1.89886526e-04   1.80381514e-01  -1.40319447e+01  -4.54039535e+00   2.58915900e-02
  1.64501153e-01   0.00000000e+00   2.25512899e+00  -1.96486805e-04   1.76367189e-01  -1.37733228e+01  -4.54034334e+00   2.58098277e-02
  1.67664919e-01   0.00000000e+00   2.25586473e+00  -2.03285719e-04   1.72419174e-01  -1.35196965e+01  -4.54028969e+00   2.57251762e-02
  1.70889533e-01   0.00000000e+00   2.25662870e+00  -2.10286828e-04   1.68536162e-01  -1.32709736e+01  -4.54023435e+00   2.56375450e-02
  1.74176163e-01   0.00000000e+00   2.25742196e+00  -2.17493552e-04   1.64716877e-01  -1.30270636e+01  -4.54017728e+00   2.55468414e-02
  1.77526004e-01   0.00000000e+00   2.25824562e+00  -2.24909143e-04   1.60960071e-01  -1.27878778e+01  -4.54011846e+00   2.54529709e-02
